"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Joshua Perkins",2500,"Ari@Atl 01:00PM ET",0.000,"Atl"
"TE","Hakeem Valles",2500,"Ari@Atl 01:00PM ET",0.000,"Ari"
"TE","Larry Donnell",2500,"NYG@Cle 01:00PM ET",3.650,"NYG"
"TE","Randall Telfer",2500,"NYG@Cle 01:00PM ET",0.078,"Cle"
"TE","Seth DeValve",2500,"NYG@Cle 01:00PM ET",1.829,"Cle"
"TE","Danny Vitale",2500,"NYG@Cle 01:00PM ET",0.000,"Cle"
"TE","Jerell Adams",2500,"NYG@Cle 01:00PM ET",2.800,"NYG"
"TE","John Phillips",2500,"LA@NO 01:00PM ET",1.600,"NO"
"TE","Cory Harkey",2500,"LA@NO 01:00PM ET",0.000,"LA"
"TE","Josh Hill",2500,"LA@NO 01:00PM ET",3.029,"NO"
"TE","Tyler Higbee",2500,"LA@NO 01:00PM ET",0.910,"LA"
"TE","Temarrick Hemingway",2500,"LA@NO 01:00PM ET",0.000,"LA"
"TE","Kyle Nelson",2500,"SF@Mia 01:00PM ET",0.000,"SF"
"TE","MarQueis Gray",2500,"SF@Mia 01:00PM ET",1.940,"Mia"
"TE","Dion Sims",2500,"SF@Mia 01:00PM ET",2.800,"Mia"
"TE","Blake Bell",2500,"SF@Mia 01:00PM ET",0.333,"SF"
"TE","Je'Ron Hamm",2500,"SF@Mia 01:00PM ET",0.000,"SF"
"TE","Dominique Jones",2500,"SF@Mia 01:00PM ET",2.900,"Mia"
"TE","Thomas Duarte",2500,"SF@Mia 01:00PM ET",0.000,"Mia"
"TE","Sean McGrath",2500,"SD@Hou 01:00PM ET",0.450,"SD"
"TE","Ryan Griffin",2500,"SD@Hou 01:00PM ET",6.130,"Hou"
"TE","Asante Cleveland",2500,"SD@Hou 01:00PM ET",0.000,"SD"
"TE","Stephen Anderson",2500,"SD@Hou 01:00PM ET",3.257,"Hou"
"TE","Brandon Myers",2500,"Sea@TB 04:05PM ET",1.490,"TB"
"TE","Andrew DePaola",2500,"Sea@TB 04:05PM ET",0.000,"TB"
"TE","Luke Stocker",2500,"Sea@TB 04:05PM ET",0.700,"TB"
"TE","Luke Willson",2500,"Sea@TB 04:05PM ET",2.200,"Sea"
"TE","Brandon Williams",2500,"Sea@TB 04:05PM ET",0.260,"Sea"
"TE","Nick Vannett",2500,"Sea@TB 04:05PM ET",0.340,"Sea"
"TE","Alan Cross",2500,"Sea@TB 04:05PM ET",1.100,"TB"
"TE","Ed Dickson",2500,"Car@Oak 04:25PM ET",2.560,"Car"
"TE","Mychal Rivera",2500,"Car@Oak 04:25PM ET",2.886,"Oak"
"TE","Clive Walford",2500,"Car@Oak 04:25PM ET",5.744,"Oak"
"TE","Chris Manhertz",2500,"Car@Oak 04:25PM ET",0.000,"Car"
"TE","Ryan O'Malley",2500,"Car@Oak 04:25PM ET",0.000,"Oak"
"TE","James Winchester",2500,"KC@Den 08:30PM ET",0.000,"KC"
"TE","A.J. Derby",2500,"KC@Den 08:30PM ET",0.700,"Den"
"TE","James O'Shaughnessy",2500,"KC@Den 08:30PM ET",0.100,"KC"
"TE","Jeff Heuerman",2500,"KC@Den 08:30PM ET",0.971,"Den"
"TE","Ross Travis",2500,"KC@Den 08:30PM ET",0.750,"KC"
"TE","Demetrius Harris",2500,"KC@Den 08:30PM ET",1.800,"KC"
"TE","Matt Lengel",2500,"NE@NYJ 04:25PM ET",0.000,"NE"
"TE","Brandon Bostick",2500,"NE@NYJ 04:25PM ET",0.330,"NYJ"
"TE","Eric Tomlinson",2500,"NE@NYJ 04:25PM ET",0.000,"NYJ"
"TE","Austin Seferian-Jenkins",2500,"NE@NYJ 04:25PM ET",4.275,"NYJ"
"DST","Jets ",2500,"NE@NYJ 04:25PM ET",4.000,"NYJ"
"TE","Brent Celek",2500,"GB@Phi 08:30PM ET",1.770,"Phi"
"TE","Jared Cook",2500,"GB@Phi 08:30PM ET",8.950,"GB"
"TE","Trey Burton",2500,"GB@Phi 08:30PM ET",3.944,"Phi"
"DST","Colts ",2400,"Pit@Ind 08:30PM ET",4.800,"Ind"
"DST","Jaguars ",2400,"Jax@Buf 01:00PM ET",3.100,"Jax"
"DST","Rams ",2400,"LA@NO 01:00PM ET",7.700,"LA"
"DST","49ers ",2400,"SF@Mia 01:00PM ET",4.000,"SF"
"DST","Buccaneers ",2300,"Sea@TB 04:05PM ET",6.900,"TB"
"DST","Browns ",2200,"NYG@Cle 01:00PM ET",2.909,"Cle"
